Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1865,tt0062707,2024-12-17,2024-12-17,,"Banditi a Milano","Banditi a Milano",https://www.imdb.com/title/tt0062707/,Film,7.1,98,1968,"Poliziesco, Drammatico",916,1968-03-29,"Carlo Lizzani",,
1866,tt0062112,2024-12-17,2024-12-17,,"Un attico sopra l'inferno","The Penthouse",https://www.imdb.com/title/tt0062112/,Film,5.6,96,1967,"Commedia, Drammatico, Horror, Thriller",294,1967-09-29,"Peter Collinson",,
1867,tt0062477,2024-12-17,2024-12-17,,"La vecchia legge del West","Waterhole #3",https://www.imdb.com/title/tt0062477/,Film,6.1,95,1967,"Commedia, Western",1702,1967-11-17,"William A. Graham",,
1868,tt0061197,2024-12-17,2024-12-17,,"Il giorno più lungo di Kansas City","Winnetou und das Halbblut Apanatschi",https://www.imdb.com/title/tt0061197/,Film,5.7,90,1966,"Western, Avventura",1829,1968,"Harald Philipp",,
1869,tt0058383,2024-12-17,2024-12-17,,"Assassinio sul palcoscenico","Murder Most Foul",https://www.imdb.com/title/tt0058383/,Film,7.1,90,1964,"Commedia, Poliziesco, Drammatico, Giallo, Thriller",6618,1964-03,"George Pollock",,
1870,tt0063275,2024-12-17,2024-12-17,,"Le notti di Satana","La marca del Hombre Lobo",https://www.imdb.com/title/tt0063275/,Film,5.6,88,1968,"Fantastico, Horror",981,1968-07-29,"Enrique López Eguiluz",,
1871,tt0215321,2024-12-17,2024-12-17,,"Vendo cara la pelle","Vendo cara la pelle",https://www.imdb.com/title/tt0215321/,Film,5.5,90,1968,"Western",378,1968-05-16,"Ettore Maria Fizzarotti",,
1872,tt0060697,2024-12-17,2024-12-17,,"1000 dollari sul nero","1000 dollari sul nero",https://www.imdb.com/title/tt0060697/,Film,6.0,102,1966,"Drammatico, Western",430,1966-12-18,"Alberto Cardone",,
1873,tt0062909,2024-12-18,2024-12-18,,"Le amanti di Dracula","Dracula Has Risen from the Grave",https://www.imdb.com/title/tt0062909/,Film,6.5,92,1968,"Drammatico, Fantastico, Horror, Sentimentale",8606,1968-11-07,"Freddie Francis",,
1874,tt0063246,2024-12-18,2024-12-18,,"Jim l'irresistibile detective","A Lovely Way to Die",https://www.imdb.com/title/tt0063246/,Film,5.1,103,1968,"Poliziesco, Drammatico, Giallo",655,1968-04-19,"David Lowell Rich",,
1875,tt0064869,2024-12-18,2024-12-18,,"Quintana","Quintana",https://www.imdb.com/title/tt0064869/,Film,4.8,84,1969,"Western",96,,"Vincenzo Musolino",,
1876,tt0062218,2024-12-18,2024-12-18,,"Due stelle nella polvere","Rough Night in Jericho",https://www.imdb.com/title/tt0062218/,Film,6.4,104,1967,"Sentimentale, Western",1668,1967-08-01,"Arnold Laven",,
1877,tt0062863,2024-12-18,2024-12-18,,"Buio oltre il sole","The Mercenaries",https://www.imdb.com/title/tt0062863/,Film,6.8,100,1968,"Azione, Avventura, Drammatico, Thriller, Guerra",3704,1968-07-03,"Jack Cardiff",,
1878,tt0063515,2024-12-18,2024-12-18,,"Gioco d'azzardo","Rogue's Gallery",https://www.imdb.com/title/tt0063515/,Film,6.2,87,1968,"Poliziesco, Drammatico, Giallo",80,,"Leonard J. Horn",,
1879,tt0062819,2024-12-18,2024-12-18,,"Commandos","Commandos",https://www.imdb.com/title/tt0062819/,Film,5.4,112,1968,"Azione, Drammatico, Guerra",1139,1968-11-19,"Armando Crispino",,
1880,tt0058409,2024-12-18,2024-12-18,,"Le professioniste","Nikutai no mon",https://www.imdb.com/title/tt0058409/,Film,7.2,90,1964,"Drammatico",3551,1968-06-13,"Seijun Suzuki",,
1881,tt0049833,2024-12-18,2024-12-18,,"I dieci comandamenti","The Ten Commandments",https://www.imdb.com/title/tt0049833/,Film,7.9,220,1956,"Avventura, Drammatico, Per famiglie, Storico",81274,1957-06-29,"Cecil B. DeMille",,
1882,tt0062629,2024-12-18,2024-12-18,,"A Ghentar si muore facile","A Ghentar si muore facile",https://www.imdb.com/title/tt0062629/,Film,5.5,117,1967,"Azione, Avventura",36,1967-08-16,"León Klimovsky",,
1883,tt0058618,2024-12-18,2024-12-18,,"La strada per Forte Alamo","La strada per Forte Alamo",https://www.imdb.com/title/tt0058618/,Film,5.1,90,1964,"Western",335,1964-10-24,"Mario Bava",,
1884,tt0063032,2024-12-18,2024-12-18,,"Il grande silenzio","Il grande silenzio",https://www.imdb.com/title/tt0063032/,Film,7.7,105,1968,"Drammatico, Western",19223,1969-01-27,"Sergio Corbucci",,
1885,tt0056174,2024-12-18,2024-12-18,,"La leggenda di Enea","La leggenda di Enea",https://www.imdb.com/title/tt0056174/,Film,5.3,105,1962,"Avventura, Drammatico",511,1962-11-28,"Giorgio Venturini",,
1886,tt0065997,2024-12-18,2024-12-18,,"Vivo per la tua morte","Vivo per la tua morte",https://www.imdb.com/title/tt0065997/,Film,6.0,104,1968,"Western",442,1968-04-05,"Camillo Bazzoni",,
1887,tt0183451,2024-12-18,2024-12-18,,"Maciste nell'inferno di Gengis Khan","Maciste nell'inferno di Gengis Khan",https://www.imdb.com/title/tt0183451/,Film,4.6,96,1964,"Azione, Avventura, Drammatico, Sentimentale",235,1964-04-16,"Domenico Paolella",,
1888,tt0138650,2024-12-18,2024-12-18,,"Nel sole","Nel sole",https://www.imdb.com/title/tt0138650/,Film,5.0,107,1967,"Commedia, Musical, Sentimentale",158,1967-12-22,"Aldo Grimaldi",,
1889,tt0064653,2024-12-18,2024-12-18,,"Meglio vedova","Meglio vedova",https://www.imdb.com/title/tt0064653/,Film,5.8,105,1968,"Commedia",59,1968-10-09,"Duccio Tessari",,
1890,tt0139820,2024-12-18,2024-12-18,,"Nuda per un pugno di eroi","Akai tenshi",https://www.imdb.com/title/tt0139820/,Film,7.8,95,1966,"Drammatico, Sentimentale, Guerra",2059,1966-10-01,"Yasuzô Masumura",,
1891,tt0139510,2024-12-18,2024-12-18,,"L'oro del mondo","L'oro del mondo",https://www.imdb.com/title/tt0139510/,Film,5.1,94,1968,"Commedia, Musical",105,1968-03-27,"Aldo Grimaldi",,
1892,tt0062151,2024-12-18,2024-12-18,,"Preparati la bara!","Preparati la bara!",https://www.imdb.com/title/tt0062151/,Film,6.4,92,1968,"Azione, Drammatico, Western",3361,1968-01-27,"Ferdinando Baldi",,
1893,tt0062824,2024-12-18,2024-12-18,,"L'uomo dalla cravatta di cuoio","Coogan's Bluff",https://www.imdb.com/title/tt0062824/,Film,6.4,94,1968,"Azione, Poliziesco, Thriller",19968,1968-12-21,"Don Siegel",,
1894,tt0065155,2024-12-19,2024-12-19,,"Uno di più all'inferno","Uno di più all'inferno",https://www.imdb.com/title/tt0065155/,Film,5.3,87,1968,"Western",178,1968-08-17,"Giovanni Fago",,
1895,tt0055257,2024-12-19,2024-12-19,,"I due volti della vendetta","One-Eyed Jacks",https://www.imdb.com/title/tt0055257/,Film,7.1,141,1961,"Drammatico, Western",14259,1961-10-20,"Marlon Brando",,
1896,tt0063354,2024-12-19,2024-12-19,,"I nipoti di Zorro","I nipoti di Zorro",https://www.imdb.com/title/tt0063354/,Film,5.5,96,1968,"Commedia, Western",117,1968-12-12,"Marcello Ciorciolini",,
1897,tt0057036,2024-12-19,2024-12-19,,"Ercole sfida Sansone","Ercole sfida Sansone",https://www.imdb.com/title/tt0057036/,Film,4.9,93,1963,"Avventura, Fantastico",720,1963-12-20,"Pietro Francisci",,
1898,tt0049408,2024-12-19,2024-12-19,,"Il re ed io","The King and I",https://www.imdb.com/title/tt0049408/,Film,7.4,133,1956,"Biografico, Drammatico, Musical, Sentimentale",28717,1957-01-10,"Walter Lang",,
1899,tt0066334,2024-12-19,2024-12-19,,"Satiricosissimo","Satiricosissimo",https://www.imdb.com/title/tt0066334/,Film,5.1,92,1970,"Commedia",119,1970-01-21,"Mariano Laurenti",,
1900,tt0032779,2024-12-19,2024-12-19,,"Eldorado","Melody Ranch",https://www.imdb.com/title/tt0032779/,Film,6.2,84,1940,"Western",272,1940-11-15,"Joseph Santley",,
1901,tt0156193,2024-12-19,2024-12-19,,"Zingara","Zingara",https://www.imdb.com/title/tt0156193/,Film,5.9,91,1969,"Commedia, Sentimentale",23,1969-08-06,"Mariano Laurenti",,
1902,tt0059826,2024-12-19,2024-12-19,,"Tre dollari di piombo","Tre dollari di piombo",https://www.imdb.com/title/tt0059826/,Film,4.7,89,1964,"Western",67,1964-12-19,"Pino Mercanti",,
1903,tt0197946,2024-12-19,2024-12-19,,"Tentazione","Byakuya no yôjo",https://www.imdb.com/title/tt0197946/,Film,5.6,88,1957,"Drammatico, Fantastico, Horror",25,1957-08-13,"Eisuke Takizawa",,
1904,tt0063811,2024-12-19,2024-12-19,,"Costretto ad uccidere","Will Penny",https://www.imdb.com/title/tt0063811/,Film,7.1,108,1967,"Drammatico, Sentimentale, Western",5494,1968-04-10,"Tom Gries",,
1905,tt0062904,2024-12-19,2024-12-19,,"Due croci a Danger Pass","Due croci a Danger Pass",https://www.imdb.com/title/tt0062904/,Film,5.5,85,1967,"Drammatico, Western",144,1967-03-28,"Rafael Romero Marchent",,
1906,tt0065962,2024-12-19,2024-12-19,,"Bruciatelo vivo!","Land Raiders",https://www.imdb.com/title/tt0065962/,Film,5.3,101,1969,"Azione, Drammatico, Western",493,1970-01,"Nathan Juran",,
1907,tt0150180,2024-12-19,2024-12-19,,"Con lui cavalca la morte","Con lui cavalca la morte",https://www.imdb.com/title/tt0150180/,Film,5.3,75,1967,"Western",50,1967-11-11,"Giuseppe Vari",,
1908,tt0058936,2024-12-19,2024-12-19,,"Io non perdono... uccido","Fedra West",https://www.imdb.com/title/tt0058936/,Film,5.8,90,1968,"Drammatico, Western",45,1968-05-05,"Joaquín Luis Romero Marchent",,
1909,tt0052280,2024-12-19,2024-12-19,,"La tempesta","La tempesta",https://www.imdb.com/title/tt0052280/,Film,6.3,120,1958,"Avventura, Storico",272,1958-12-01,"Alberto Lattuada",,
1910,tt0057142,2024-12-19,2024-12-19,,"La spada del Cid","La spada del Cid",https://www.imdb.com/title/tt0057142/,Film,4.3,86,1962,"Drammatico, Storico",108,1962-12-24,"Miguel Iglesias",,
1911,tt0061541,2024-12-19,2024-12-19,,"Ringo, il volto della vendetta","Los cuatro salvajes",https://www.imdb.com/title/tt0061541/,Film,5.8,102,1966,"Drammatico, Western",273,1966-08-26,"Mario Caiano",,
1912,tt0058114,2024-12-19,2024-12-19,,"6 pallottole per Ringo Kid","Freddy und das Lied der Prärie",https://www.imdb.com/title/tt0058114/,Film,4.2,101,1964,"Musical, Western",107,1964-08-28,"Sobey Martin",,
1913,tt0150414,2024-12-19,2024-12-19,,"2 mattacchioni al Moulin Rouge","2 mattacchioni al Moulin Rouge",https://www.imdb.com/title/tt0150414/,Film,4.5,90,1964,"Commedia",41,,"Giuseppe Vari",,
1914,tt0062630,2024-12-19,2024-12-19,,"A qualsiasi prezzo","A qualsiasi prezzo",https://www.imdb.com/title/tt0062630/,Film,5.8,102,1968,"Azione, Avventura, Poliziesco, Thriller",88,1968-09-11,"Emilio Miraglia",,
1915,tt0053861,2024-12-19,2024-12-19,,"I giganti della Tessaglia","I giganti della Tessaglia",https://www.imdb.com/title/tt0053861/,Film,5.1,98,1960,"Avventura, Fantastico",399,1960-12-06,"Riccardo Freda",,
1916,tt0061189,2024-12-19,2024-12-19,,"I selvaggi","The Wild Angels",https://www.imdb.com/title/tt0061189/,Film,5.6,93,1966,"Azione, Drammatico, Thriller",3602,1966-07-20,"Roger Corman",,
1917,tt0061587,2024-12-19,2024-12-19,,"Navajo Joe","Navajo Joe",https://www.imdb.com/title/tt0061587/,Film,6.3,93,1966,"Drammatico, Western",4866,1966-11-25,"Sergio Corbucci",,
1918,tt0060351,2024-12-19,2024-12-19,,"2 once di piombo","2 once di piombo",https://www.imdb.com/title/tt0060351/,Film,6.1,83,1966,"Western",483,1966-12-22,"Maurizio Lucidi",,
1919,tt0061419,2024-12-19,2024-12-19,,"Fbi contro gangsters","The Borgia Stick",https://www.imdb.com/title/tt0061419/,Film per la TV,7.3,120,1967,"Poliziesco, Drammatico, Thriller",217,1967-02-25,"David Lowell Rich",,
1920,tt0065070,2024-12-19,2024-12-19,,"Tarzana, sesso selvaggio","Tarzana, sesso selvaggio",https://www.imdb.com/title/tt0065070/,Film,4.7,87,1969,"Avventura",173,1969-07-11,"Guido Malatesta",,
1921,tt0062861,2024-12-19,2024-12-19,,"Diabolik","Diabolik",https://www.imdb.com/title/tt0062861/,Film,6.5,105,1968,"Azione, Commedia, Poliziesco",7585,1968-01-26,"Mario Bava",,
1922,tt0049880,2024-12-19,2024-12-19,,"I moschettieri del re","Los tres mosqueteros y medio",https://www.imdb.com/title/tt0049880/,Film,7.2,100,1957,"Azione, Avventura, Commedia, Fantastico",68,1957-10-30,"Gilberto Martínez Solares",,
1923,tt0059093,2024-12-19,2024-12-19,,"Deadwood '76","Deadwood '76",https://www.imdb.com/title/tt0059093/,Film,4.6,97,1965,"Drammatico, Western",270,1965-06-30,"James Landis",,
1924,tt0064393,2024-12-19,2024-12-19,,"Il fango verde","The Green Slime",https://www.imdb.com/title/tt0064393/,Film,4.9,90,1968,"Drammatico, Horror, Fantascienza",4122,1969-08-15,"Kinji Fukasaku",,
1925,tt0065247,2024-12-19,2024-12-19,,"Zorro alla corte d'Inghilterra","Zorro alla corte d'Inghilterra",https://www.imdb.com/title/tt0065247/,Film,5.7,102,1969,"Avventura, Western",54,1969-02-28,"Franco Montemurro",,
1926,tt0063636,2024-12-19,2024-12-19,,"I 6 della grande rapina","The Split",https://www.imdb.com/title/tt0063636/,Film,6.0,90,1968,"Azione, Poliziesco, Drammatico, Thriller",1618,1968-11-04,"Gordon Flemyng",,
1927,tt0062411,2024-12-19,2024-12-19,,"Odissea sulla Terra","Uchû daikaijû Girara",https://www.imdb.com/title/tt0062411/,Film,4.8,89,1967,"Horror, Fantascienza",1593,1969-07-18,"Kazui Nihonmatsu",,
1928,tt0066287,2024-12-19,2024-12-19,,"Adios Cjamango","Los rebeldes de Arizona",https://www.imdb.com/title/tt0066287/,Film,3.3,90,1970,"Drammatico, Western",45,1970-12-16,"José María Zabalza",,
1929,tt0066093,2024-12-19,2024-12-19,,"Monty Walsh un uomo duro a morire","Monte Walsh",https://www.imdb.com/title/tt0066093/,Film,7.0,106,1970,"Western",3197,1970-10-07,"William A. Fraker",,
1930,tt0044380,2024-12-19,2024-12-19,,"I figli dei moschettieri","At Sword's Point",https://www.imdb.com/title/tt0044380/,Film,6.0,81,1952,"Avventura, Storico",846,1952-02-04,"Lewis Allen",,
1931,tt0060416,2024-12-19,2024-12-19,,"Un fiume di dollari","Un fiume di dollari",https://www.imdb.com/title/tt0060416/,Film,5.9,89,1966,"Azione, Drammatico, Western",952,1966-09-09,"Carlo Lizzani",,
1932,tt0061805,2024-12-19,2024-12-19,,"Il teschio di Londra","Im Banne des Unheimlichen",https://www.imdb.com/title/tt0061805/,Film,5.9,88,1968,"Poliziesco, Giallo, Thriller",613,1968-04-26,"Alfred Vohrer",,
1933,tt0198876,2024-12-19,2024-12-19,,"Ora X - pattuglia suicida","Ora X - pattuglia suicida",https://www.imdb.com/title/tt0198876/,Film,3.4,85,1969,"Guerra",38,1969-07-20,"Gaetano Quartararo",,
1934,tt0054503,2024-12-19,2024-12-19,,"Quanto sei bella Roma","Quanto sei bella Roma",https://www.imdb.com/title/tt0054503/,Film,3.4,90,1959,"Commedia",21,1959-12-17,"Marino Girolami",,
1935,tt0064785,2024-12-19,2024-12-19,,"Il settimo flagello","Pan Wolodyjowski",https://www.imdb.com/title/tt0064785/,Film,7.2,88,1969,"Avventura, Drammatico, Storico, Guerra",1866,1969-03-28,"Jerzy Hoffman",,
1936,tt0054678,2024-12-19,2024-12-19,,"I due nemici","The Best of Enemies",https://www.imdb.com/title/tt0054678/,Film,6.7,104,1961,"Avventura, Commedia, Guerra",803,1961-10-26,"Guy Hamilton",,
1937,tt0156329,2024-12-19,2024-12-19,,"La bambola di Satana","La bambola di Satana",https://www.imdb.com/title/tt0156329/,Film,5.1,90,1969,"Horror",584,1969-06-12,"Ferruccio Casapinta",,
1938,tt0186532,2024-12-19,2024-12-19,,"7 monaci d'oro","7 monaci d'oro",https://www.imdb.com/title/tt0186532/,Film,4.8,100,1966,"Commedia",26,,"Marino Girolami",,
1939,tt0066396,2024-12-20,2024-12-20,,"Spara, Gringo, spara","Spara, Gringo, spara",https://www.imdb.com/title/tt0066396/,Film,5.7,91,1968,"Drammatico, Western",374,1968-08-31,"Bruno Corbucci",,
1940,tt0059152,2024-12-20,2024-12-20,,"Erik il vichingo","Erik il vichingo",https://www.imdb.com/title/tt0059152/,Film,5.1,95,1965,"Avventura, Fantastico",156,1965-03-11,"Mario Caiano",,
1941,tt0060334,2024-12-20,2024-12-20,,"Mexico amore e sangue per un gringhero","Un dorado de Pancho Villa",https://www.imdb.com/title/tt0060334/,Film,6.8,95,1967,"Avventura, Drammatico, Guerra",40,1967-09-14,"Emilio Fernández",,
1942,tt0065422,2024-12-20,2024-12-20,,"Arizona si scatenò... e li fece fuori tutti!","Arizona si scatenò... e li fece fuori tutti!",https://www.imdb.com/title/tt0065422/,Film,5.7,90,1970,"Western",326,1970-08-14,"Sergio Martino",,
1943,tt0060475,2024-12-20,2024-12-20,,"Le grandi vacanze","Les grandes vacances",https://www.imdb.com/title/tt0060475/,Film,6.5,84,1967,"Avventura, Commedia",3942,1967-12-01,"Jean Girault",,
1944,tt0063024,2024-12-20,2024-12-20,,"Il gorilla di Soho","Der Gorilla von Soho",https://www.imdb.com/title/tt0063024/,Film,5.1,96,1968,"Azione, Poliziesco, Giallo",586,1968-09-27,"Alfred Vohrer",,
1945,tt0062865,2024-12-20,2024-12-20,,"L'ultimo colpo in canna","Day of the Evil Gun",https://www.imdb.com/title/tt0062865/,Film,6.4,95,1968,"Drammatico, Western",1626,1968-03-01,"Jerry Thorpe",,
1946,tt0060126,2024-12-20,2024-12-20,,"I conquistatori degli abissi","Around the World Under the Sea",https://www.imdb.com/title/tt0060126/,Film,5.3,110,1966,"Azione, Avventura, Fantascienza",1018,1966-06-22,"Andrew Marton",,
1947,tt0048528,2024-12-20,2024-12-20,,"L'arciere del re","Quentin Durward",https://www.imdb.com/title/tt0048528/,Film,6.3,103,1955,"Azione, Avventura, Drammatico, Storico, Sentimentale",1192,1956-04-04,"Richard Thorpe",,
1948,tt0054422,2024-12-20,2024-12-20,,"Gli ultimi giorni di Pompei","Gli ultimi giorni di Pompei",https://www.imdb.com/title/tt0054422/,Film,5.6,100,1959,"Azione, Avventura, Storico, Sentimentale",1371,1959-11-12,"Mario Bonnard",,
1949,tt0057848,2024-12-20,2024-12-20,,"I sette del Texas","Antes llega la muerte",https://www.imdb.com/title/tt0057848/,Film,6.2,90,1964,"Western",191,1965-01-29,"Joaquín Luis Romero Marchent",,
1950,tt0062975,2024-12-20,2024-12-20,,"L'ora della furia","Firecreek",https://www.imdb.com/title/tt0062975/,Film,6.8,104,1968,"Azione, Avventura, Drammatico, Western",4207,1968-01-24,"Vincent McEveety",,
1951,tt0062056,2024-12-20,2024-12-20,,"La morbida pelle della dolce Susanna","La nuit la plus chaude",https://www.imdb.com/title/tt0062056/,Film,3.5,91,1968,,24,1968-02-28,"Max Pécas",,
1952,tt0058917,2024-12-20,2024-12-20,,"I pistoleri maledetti","Arizona Raiders",https://www.imdb.com/title/tt0058917/,Film,5.9,97,1965,"Drammatico, Western",1320,1965-08-01,"William Witney",,
1953,tt0065083,2024-12-20,2024-12-20,,"Testa o croce","Testa o croce",https://www.imdb.com/title/tt0065083/,Film,5.6,95,1969,"Azione, Western",149,1969-06-04,"Piero Pierotti",,
1954,tt0065499,2024-12-20,2024-12-20,,"Buon funerale amigos!... paga Sartana","Buon funerale amigos!... paga Sartana",https://www.imdb.com/title/tt0065499/,Film,6.6,91,1970,"Western",1014,1970-10-08,"Giuliano Carnimeo",,
1955,tt0054263,2024-12-20,2024-12-20,,"Saffo - Venere di Lesbo","Saffo - Venere di Lesbo",https://www.imdb.com/title/tt0054263/,Film,5.0,105,1960,"Avventura, Drammatico, Sentimentale",155,1960-08-24,"Pietro Francisci",,
1956,tt0045494,2024-12-20,2024-12-20,,"I fratelli senza paura","All the Brothers Were Valiant",https://www.imdb.com/title/tt0045494/,Film,6.2,95,1953,"Avventura, Drammatico, Sentimentale",1166,1953-11-13,"Richard Thorpe",,
1957,tt0061449,2024-12-20,2024-12-20,,"Caroline chérie","Caroline chérie",https://www.imdb.com/title/tt0061449/,Film,5.1,105,1968,"Drammatico, Storico",122,1968-01-18,"Denys de La Patellière",,
1958,tt0059037,2024-12-20,2024-12-20,,"Cincinnati Kid","The Cincinnati Kid",https://www.imdb.com/title/tt0059037/,Film,7.2,102,1965,"Drammatico",18964,1966-01-04,"Norman Jewison, Sam Peckinpah",,
1959,tt0064603,2025-01-14,2025-01-14,,"Un maggiolino tutto matto","The Love Bug",https://www.imdb.com/title/tt0064603/,Film,6.5,108,1969,"Commedia, Per famiglie, Sportivo",18302,1969-09-26,"Robert Stevenson",,
1960,tt0065775,2025-01-14,2025-01-14,,"L'impossibilità di essere normale","Getting Straight",https://www.imdb.com/title/tt0065775/,Film,6.3,124,1970,"Commedia, Drammatico, Sentimentale",1730,1970-05-13,"Richard Rush",,
